Time,Mesh_Current
03:19.5,1539
03:20.5,1540
03:21.5,1540
03:22.5,1538
03:23.5,1539
03:24.5,1539
03:25.5,1539
03:26.5,1538
03:27.5,1538
03:28.5,1538
03:29.5,1539
03:30.5,1538
03:31.5,1537
03:32.5,1538
03:33.5,1538
03:34.5,1537
03:35.5,1538
03:36.5,1537
03:37.5,1537
03:38.5,1537
03:39.5,1537
03:40.5,1537
03:41.5,1538
03:42.5,1537
03:43.5,1546
03:44.5,1543
03:45.5,1544
03:46.5,1544
03:47.5,1543
03:48.5,1542
03:49.5,1544
03:50.5,1543
03:51.5,1542
03:52.5,1542
03:53.5,1541
03:54.5,1543
03:55.5,1542
03:56.5,1542
03:57.5,1541
03:58.5,1541
03:59.5,1543
04:00.5,1543
04:01.5,1542
04:02.5,1543
04:03.5,1542
04:04.5,1541
04:05.5,1541
04:06.5,1542
04:07.5,1542
04:08.5,1542
04:09.5,1541
04:10.5,1541
04:11.5,1542
04:12.5,1541
04:13.5,1541
04:14.5,1540
04:15.5,1542
04:16.5,1541
04:17.5,1540
04:18.5,1542
04:19.5,1540
04:20.5,1541
04:21.5,1540
04:22.5,1541
04:23.5,1541
04:24.5,1542
04:25.5,1541
04:26.5,1542
04:27.5,1541
04:28.5,1540
04:29.5,1542
04:30.5,1542
04:31.5,1541
04:32.5,1542
04:33.5,1540
04:34.5,1542
04:35.5,1541
04:36.5,1542
04:37.5,1543
04:38.5,1542
04:39.5,1542
04:40.5,1541
04:41.5,1541
04:42.5,1541
04:43.5,1550
04:44.5,1546
04:45.5,1547
04:46.5,1549
04:47.5,1548
04:48.5,1547
04:49.5,1546
04:50.4,1546
04:51.4,1547
04:52.4,1546
04:53.4,1547
04:54.4,1547
04:55.4,1547
04:56.4,1546
04:57.4,1547
04:58.4,1546
04:59.4,1546
05:00.4,1546
05:01.4,1546
05:02.4,1547
05:03.4,1545
05:04.4,1545
05:05.4,1546
05:06.4,1545
05:07.4,1545
05:08.4,1545
05:09.4,1544
05:10.4,1545
05:11.4,1546
05:12.4,1546
